name_english,name_hebrew,isAvailable,returnDate,description_english,description_hebrew,imageName,primaryColor,secondaryColor,website
Israir Airlines,ישראייר,FALSE,30/06/2025,Israir is an Israeli airline operating domestic and international services. All its flights to and from Israel are currently cancelled until the end of June.,ישראייר היא חברת תעופה ישראלית המפעילה טיסות פנים וטיסות בינלאומיות. כל טיסותיה לישראל וממנה מבוטלות כרגע עד סוף יוני.,israir.webp,"hsl(28, 90%, 55%)","hsl(210, 60%, 35%)",https://www.israir.co.il/
ITA Airways,ITA איירווייז,FALSE,01/08/2025,"ITA Airways operates flights between Tel Aviv and Rome. They announced a return to TLV on August 1, 2025.","אית'א איירווייז מפעילה טיסות בין תל אביב לרומא. הם הודיעו שישובו לפעול בנתב""ג ב-1 באוגוסט 2025.",jordanian.webp,"hsl(200, 80%, 30%)","hsl(40, 100%, 60%)",www.rj.com
KLM Royal Dutch Airlines,קיי אל אם רויאל דטצ,FALSE,01/07/2025,KLM is the flag carrier airline of the Netherlands. Their flights are suspended until July 1.,ק.ל.מ. היא חברת התעופה הלאומית של הולנד. טיסותיה מושעות עד 1 ביולי.,klm.webp,"hsl(220, 80%, 50%)","hsl(40, 100%, 70%)",https://www.klm.com/
LOT Polish Airlines,לוט פול,FALSE,07/07/2025,LOT Polish Airlines is the flag carrier of Poland. Their flights between Tel Aviv and Warsaw are suspended until July 7.,לוט פוליש איירליינס היא חברת התעופה הלאומית של פולין. טיסותיהם בין תל אביב לוורשה מושעות עד 7 ביולי.,lot.webp,"hsl(220, 70%, 40%)","hsl(0, 0%, 100%)",https://www.lot.com/
Lufthansa,לופטהנזה,FALSE,01/08/2025,"Lufthansa is the largest German airline. They announced a return to TLV on August 1, 2025.","לופטהנזה היא חברת התעופה הגדולה ביותר בגרמניה. הם הודיעו שישובו לפעול בנתב""ג ב-1 באוגוסט 2025.",lufthansa.webp,"hsl(220, 60%, 25%)","hsl(44, 100%, 50%)",https://www.lufthansa.com/
Royal Jordanian,רויאל ג'ורדניאן,TRUE,null,"Royal Jordanian is the flag carrier airline of Jordan. It offers frequent direct flights between Amman and Tel Aviv, serving as an important regional connection.","רויאל ג'ורדניאן היא חברת התעופה הלאומית של ירדן. היא מציעה טיסות ישירות תכופות בין עמאן לתל אביב, ומשמשת כחיבור אזורי חשוב.",jordanian.webp,"hsl(200, 80%, 30%)","hsl(40, 100%, 60%)",https://www.rj.com/
Ryanair,ריינאייר,FALSE,01/10/2025,"Ryanair, an Irish ultra-low-cost airline. Its operations to Tel Aviv are suspended until October 1, 2025.","ריינאייר, חברת תעופה אירית אולטרה-לואו-קוסט. פעילותה לתל אביב מושעית עד 1 באוקטובר 2025.",ryanair.webp,"hsl(220, 80%, 30%)","hsl(48, 100%, 50%)",https://www.ryanair.com/
Smartwings,סמארטווינגס,TRUE,null,"Smartwings is a Czech low-cost airline and the largest airline in the Czech Republic, operating flights between Tel Aviv and Prague.","סמארטווינגס היא חברת תעופה צ'כית בעלות נמוכה והגדולה ביותר בצ'כיה, המפעילה טיסות בין תל אביב לפראג.",smartwings.webp,"hsl(0, 0%, 0%)","hsl(0, 0%, 100%)",https://www.swiss.com/
SWISS International Air Lines,סוויס אינטרנשיונל איירליינס,FALSE,25/10/2025,"SWISS is the flag carrier of Switzerland and a member of the Lufthansa Group. Its flights to Tel Aviv are suspended until October 25, 2025 (end of summer season).",סוויס היא חברת התעופה הלאומית של שוויץ וחברה בקבוצת לופטהנזה. טיסותיהם לתל אביב מושעות עד 25 באוקטובר 2025 (סוף עונת הקיץ).,swiss.webp,"hsl(210, 80%, 30%)","hsl(120, 60%, 50%)",https://www.smartwings.com/
TAP Air Portugal,טאפ אייר פורטוגל,FALSE,null,TAP Air Portugal is the national airline of Portugal. They are not currently flying to or from Israel.,טאפ אייר פורטוגל היא חברת התעופה הלאומית של פורטוגל. היא אינה טסה כרגע לישראל או אליה.,tap.webp,"hsl(0, 80%, 45%)","hsl(220, 100%, 70%)",https://www.flytap.com/
Transavia,טראנסאוויה,FALSE,08/09/2025,Transavia is a Dutch low-cost airline. Their flights between Tel Aviv and Paris are suspended until September 8. The Amsterdam route is expected to resume later.,טרנסאוויה היא חברת תעופה הולנדית בעלות נמוכה. טיסותיהם בין תל אביב לפריז מושעות עד 8 בספטמבר. קו אמסטרדם צפוי להתחדש בהמשך.,transavia.webp,"hsl(180, 80%, 30%)","hsl(40, 100%, 50%)",https://www.tusairways.com/
Turkish Airlines,טורקיש איירליינס,FALSE,null,"Turkish Airlines, the national flag carrier airline of Turkey, usually has a strong presence in the Israeli market. Its TLV operations are currently affected by regional tensions with no specific return date.","טורקיש איירליינס, חברת התעופה הלאומית של טורקיה, בעלת נוכחות חזקה בשוק הישראלי. פעילותה לתל אביב מושפעת כרגע מהמתחים האזוריים ואין תאריך חזרה מוגדר.",turkish.webp,"hsl(30, 100%, 50%)","hsl(220, 0%, 100%)",https://www.transavia.com/
TUS Airways,טאס איירווייז,FALSE,25/06/2025,TUS Airways is a Cypriot airline. Their flights to Israel are suspended until June 25.,טאס איירווייז היא חברת התעופה הקפריסאית. טיסותיהם לישראל מושעות עד 25 ביוני.,TUS.webp,"hsl(0, 80%, 40%)","hsl(0, 0%, 100%)",https://www.turkishairlines.com/
United Airlines,יונייטד איירליינס,FALSE,01/08/2025,United Airlines is a major US carrier. Their flights from Newark (EWR) to Tel Aviv are suspended until August 1.,יונייטד איירליינס היא חברת תעופה אמריקאית גדולה. טיסותיה מניוארק (EWR) לתל אביב מושעות עד 1 באוגוסט.,united.webp,"hsl(210, 100%, 30%)","hsl(210, 30%, 80%)",https://www.united.com/
Uzbekistan Airways,אוזבקיסטן איירווייז,FALSE,01/07/2025,Uzbekistan Airways is the flag carrier of Uzbekistan. Their flights between Tel Aviv and Tashkent are suspended until July 1.,אוזבקיסטן איירווייז היא חברת התעופה הלאומית של אוזבקיסטן. טיסותיהם בין תל אביב לטשקנט מושעות עד 1 ביולי.,uzbekistan.webp,"hsl(220, 70%, 40%)","hsl(120, 60%, 50%)",https://www.uzairways.com/
Vueling Airlines,וולינג איירליינס,Yes,null,"Vueling Airlines is a Spanish low-cost airline, operating flights between Tel Aviv and Barcelona.","וולינג איירליינס היא חברת תעופה ספרדית בעלות נמוכה, המפעילה טיסות בין תל אביב לברצלונה.",vueling.webp,"hsl(220, 60%, 45%)","hsl(40, 100%, 60%)",https://www.vueling.com/
Wizz Air,וויז אייר,FALSE,16/09/2025,"Wizz Air is a Hungarian ultra-low-cost airline. Its flights to Tel Aviv are suspended until September 16, 2025, due to the security situation.","וויז אייר היא חברת תעופה הונגרית אולטרה-לואו-קוסט. טיסותיה לתל אביב מושעות עד 16 בספטמבר 2025, עקב המצב הביטחוני.",wizz.webp,"hsl(320, 70%, 40%)","hsl(210, 80%, 50%)",https://wizzair.com/
